# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 778
stdtag;canontag;frsynonyme
dentition temporaire;dentition temporaire;dentition temporaire
dentition transitionnelle;dentition mixte;dentition transitionnelle
dents definitives;dentition permanente;dents définitives
dents ecartees;diastème;dents écartées
dents espacees;diastemata;dents espacées
dents lacteales;dentition temporaire;dents lactéales
dents primaires;dentition temporaire;dents primaires
dents transposees;transposition;dents transposées
denture mixte;dentition mixte;denture mixte
denture permanente;dentition permanente;denture permanente
denture temporaire;dentition temporaire;denture temporaire
depassement horizontal;supraposition;dépassement horizontal
deplacement articulaire;luxation;déplacement articulaire
deplacement corporel;translation;déplacement corporel
deplacement distal;distalisation;déplacement distal
deplacement mesial;mésialisation;déplacement mésial
deviation faciale;asymétrie faciale;déviation faciale
deviation laterale;latérodéviation;déviation latérale
deviation mandibulaire;déviation mandibulaire;déviation mandibulaire
deviation maxillaire;déviation maxillaire;déviation maxillaire
devitalisation necessaire;nécrose pulpaire;dévitalisation nécessaire
diasteme central;diastème;diastème central
digital impression;scanner intra-oral;digital impression
disjoncteur palatin;quad helix;disjoncteur palatin
distalisation molaire;pendulum;distalisation molaire
disto occlusion;classe ii d'angle;disto-occlusion
distocclusion dentaire;classe ii d'angle;distocclusion dentaire
douleur dentaire;douleur;douleur dentaire
dysfonction linguale;dysfonction linguale;dysfonction linguale
dysharmonie dentaire;ddm;dysharmonie dentaire
early treatment;traitement interceptif;early treatment
ecartement dentaire;diastème;écartement dentaire
ectopic tooth;ectopie;ectopic tooth
egression dentaire;égression;égression dentaire
elastique separateur;écarteur;élastique séparateur
elastiques intermaxillaires;élastiques intermaxillaires;élastiques intermaxillaires
empreinte dentaire;empreinte;empreinte dentaire
empreinte numerique;scanner intra-oral;empreinte numérique
entassement dentaire;crowding;entassement dentaire
eruption excessive;supraposition;éruption excessive
espace interdentaire;béance;espace interdentaire
espacement generalise;diastemata;espacement généralisé
espaces interdentaires;diastemata;espaces interdentaires
espaces multiples;diastemata;espaces multiples
examen orthodontique;consultation;examen orthodontique
exces mandibulaire;macrognathie;excès mandibulaire
exces maxillaire;macrognathie;excès maxillaire
expansion lente;quad helix;expansion lente
expansion rapide;quad helix;expansion rapide
extraction dentaire;avulsion;extraction dentaire
fil metallique;arc;fil métallique
fil niti;niti;fil niti
fil orthodontique;arc;fil orthodontique
fil rectangulaire;arc;fil rectangulaire
fil rond;arc;fil rond
fil saillant;fil qui pique;fil saillant
fil thermoactif;niti;fil thermoactif
follow up;contrôle;follow-up
fonction masticatoire;mastication;fonction masticatoire
fonction masticatrice;mastication;fonction masticatrice
fonction phonatoire;phonation;fonction phonatoire
functional appliance;activateur;functional appliance
fusion osseuse;ankylose;fusion osseuse
gencives rouges;gingivite;gencives rouges
gingival recession;récession gingivale;gingival recession
glissement mandibulaire;proglissement;glissement mandibulaire
gouttiere orthodontique;gouttière;gouttière orthodontique
gouttiere transparente;gouttière;gouttière transparente
grande machoire;macrognathie;grande mâchoire
grosse dent;molaire;grosse dent
grosse machoire;macrognathie;grosse mâchoire
hygiene dentaire;hygiène;hygiène dentaire
hypoplasie maxillaire;classe iii d'angle;hypoplasie maxillaire
imagerie 3d;scanner;imagerie 3d
impacted tooth;inclusion;impacted tooth
inclinaison dentaire;version;inclinaison dentaire
inclinaison linguale;linguo-version;inclinaison linguale
inclinaison radiculaire;torque;inclinaison radiculaire
inflammation articulaire;arthrite;inflammation articulaire
inflammation gingivale;gingivite;inflammation gingivale
infra position;infraposition;infra-position
interception orthodontique;traitement interceptif;interception orthodontique
interposition linguale;interposition linguale;interposition linguale
intrusion dentaire;ingression;intrusion dentaire
jaw surgery;ostéotomie;jaw surgery
langue basse;dysfonction linguale;langue basse
lateral ceph;céphalométrie;lateral ceph
lesion carieuse;caries dentaires;lésion carieuse
ligature coloree;ligature;ligature colorée
ligatures elastiques;ligature;ligatures élastiques
ligatures metalliques;ligature;ligatures métalliques
linguo version;linguo-version;linguo-version
loose bracket;débandage;loose bracket
luxation atm;luxation;luxation atm
luxation discale;luxation méniscale;luxation discale
luxation meniscale;luxation méniscale;luxation méniscale
mal placee;ectopie;mal placée
maladie parodontale;maladie parodontale;maladie parodontale
malocclusion dentaire;malocclusion;malocclusion dentaire
malposition dentaire;malposition;malposition dentaire
malposition rotationnelle;rotation;malposition rotationnelle
mandibule avancee;prognathisme mandibulaire;mandibule avancée
mandibule proeminente;prognathisme mandibulaire;mandibule proéminente
mandibule reculee;classe ii d'angle;mandibule reculée
mauvais engrenement;malocclusion;mauvais engrènement
mauvaise occlusion;malocclusion;mauvaise occlusion
maxillaire avance;prognathisme maxillaire;maxillaire avancé
