# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
marquees;sévère;prognathisme mandibulaire;marquées
marquees;sévère;prognathisme maxillaire;marquées
marquees;sévère;rétroalvéolie;marquées
moderees;modéré;béance;modérées
moderees;modéré;bruxisme;modérées
moderees;modéré;classe i squelettique;modérées
moderees;modéré;classe ii d'angle;modérées
moderees;modéré;classe iii d'angle;modérées
moderees;modéré;classe iii squelettique;modérées
moderees;modéré;endoalvéolie;modérées
moderees;modéré;proalvéolie;modérées
moderees;modéré;prognathisme mandibulaire;modérées
moderees;modéré;prognathisme maxillaire;modérées
moderees;modéré;rétroalvéolie;modérées
nocturne;nocturne;bruxisme;nocturne
parfaite;idéal;classe i squelettique;parfaite
parfaits;idéal;classe i squelettique;parfaits
prononce;sévère;béance;prononcé
prononce;sévère;bruxisme;prononcé
prononce;sévère;classe ii d'angle;prononcé
prononce;sévère;classe iii d'angle;prononcé
prononce;sévère;classe iii squelettique;prononcé
prononce;sévère;endoalvéolie;prononcé
prononce;sévère;proalvéolie;prononcé
prononce;sévère;prognathisme mandibulaire;prononcé
prononce;sévère;prognathisme maxillaire;prononcé
prononce;sévère;rétroalvéolie;prononcé
ancrees;fixe;contention;ancrées
ancrees;fixe;ligature;ancrées
arriere;postérieur;béance;arrière
central;central;diastemata;central
central;central;diastème;central
central;central;incisive;central
differe;différé;avulsion;différé
digital;digital;succion;digital
diurnes;diurne;bruxisme;diurnes
droites;droit;béance;droites
droites;droit;latérodéviation;droites
droites;droit;malocclusion;droites
du jour;diurne;bruxisme;du jour
du soir;diurne;bruxisme;du soir
en haut;maxillaire;endoalvéolie;en haut
en haut;maxillaire;latérodéviation;en haut
en haut;maxillaire;malposition;en haut
en haut;maxillaire;proalvéolie;en haut
en haut;maxillaire;rétroalvéolie;en haut
entiere;total;avulsion;entière
entiers;total;avulsion;entiers
gauches;gauche;béance;gauches
gauches;gauche;latérodéviation;gauches
gauches;gauche;malocclusion;gauches
ideales;idéal;classe i squelettique;idéales
incisif;incisif;proalvéolie;incisif
incluse;inclus;dentition temporaire;incluse
infecte;infectieux;douleur;infecté
integre;inclus;dentition temporaire;intégré
la nuit;nocturne;bruxisme;la nuit
lateral;latéral;béance;latéral
le jour;diurne;bruxisme;le jour
le soir;diurne;bruxisme;le soir
legeres;modéré;béance;légeres
legeres;modéré;bruxisme;légeres
legeres;modéré;classe i squelettique;légeres
legeres;modéré;classe ii d'angle;légeres
legeres;modéré;classe iii d'angle;légeres
legeres;modéré;classe iii squelettique;légeres
legeres;modéré;endoalvéolie;légeres
legeres;modéré;proalvéolie;légeres
legeres;modéré;prognathisme mandibulaire;légeres
legeres;modéré;prognathisme maxillaire;légeres
legeres;modéré;rétroalvéolie;légeres
lesions;traumatique;chirurgie;lésions
majeure;sévère;béance;majeure
majeure;sévère;bruxisme;majeure
majeure;sévère;classe ii d'angle;majeure
majeure;sévère;classe iii d'angle;majeure
majeure;sévère;classe iii squelettique;majeure
majeure;sévère;endoalvéolie;majeure
majeure;sévère;proalvéolie;majeure
majeure;sévère;prognathisme mandibulaire;majeure
majeure;sévère;prognathisme maxillaire;majeure
