p;MS;Bruxisme;;bruxomanie,clenching,grincement,grinding,serrement,usure dentaire,grince des dents, grincent des dents, dents qui grincent;nocturne,diurne,sévère|grave|marqué|important,modéré|léger|bénin;;bruxomanie,bruxomanies,clenching,grincement,grincemente,grincements,grincementes,grinding,serrement,serremente,serrements,serrementes,usure dentaire,usures dentaires,grince des dents,grinces des dents,grincent des dents,grincents des dents,dents qui grincent,dents quis grincents;nocturne|nocturnes,diurne|diurnes,sévère|sévères|grave|graves|marqué|marquée|marqués|marquées|important|importante|importants|importantes,modéré|modérée|modérés|modérées|léger|légère|légers|légères|bénin|bénigne|bénins|bénignes
p;FS;micrognathie;;petite mâchoire,hypoplasie,mâchoire trop petite,déficit mandibulaire,déficit maxillaire;mandibulaire|inférieur,maxillaire|supérieur;;petite mâchoire,petites mâchoires,hypoplasie,hypoplasies,mâchoire trop petite,mâchoires trops petites,déficit mandibulaire,déficits mandibulaires,déficit maxillaire,déficits maxillaires;mandibulaire|mandibulaires|inférieur|inférieuse|inférieurs|inférieuses,maxillaire|maxillaires|supérieur|supérieuse|supérieurs|supérieuses
#;;;;;;;;
# OCCLUSIONS;;;;;;;;
#;;;;;;;;
p;FS;occlusion croisée;;crossbite,morsure croisée,articulé croisé;;;crossbite,morsure croisée,morsures croisées,articulé croisé,articulés croisés;
p;FS;occlusion inversée;;morsure inversée,occlusion inverse,articulé inversé;antérieur|avant,postérieur|arrière,droit,gauche;;morsure inversée,morsures inversées,occlusion inverse,occlusions inverses,articulé inversé,articulés inversés;antérieur|antérieure|antérieurs|antérieures|avant|avante|avants|avantes,postérieur|postérieure|postérieurs|postérieures|arrière|arrières,droit|droite|droits|droites,gauche|gauches
p;FS;supraclusion;;deep bite,morsure profonde,overbite,recouvrement vertical excessif,supraocclusion;prononcé|marqué|sévère,total|complet;;deep bite,morsure profonde,morsures profondes,overbite,recouvrement vertical excessif,recouvrements verticaux excessifs,supraocclusion,supraocclusionne,supraocclusions,supraocclusionnes;prononcé|prononcée|prononcés|prononcées|marqué|marquée|marqués|marquées|sévère|sévères,total|totale|totaux|totales|complet|complète|complets|complètes
p;FS;infraclusion;;underbite,sous-occlusion antérieure;;;underbite,sous-occlusion antérieure,sous-occlusions antérieures;
#;;;;;;;;
# POSITIONS ET VERSIONS DENTAIRES;;;;;;;;
#;;;;;;;;
p;FS;version;;inclinaison,tipping,basculement,inclinaison dentaire,bascule,mouvement de version;;;inclinaison,inclinaisonne,inclinaisons,inclinaisonnes,tipping,tippingue,tippings,tippingues,basculement,basculemente,basculements,basculementes,inclinaison dentaire,inclinaisons dentaires,bascule,bascules,mouvement de version,mouvements des versions;
p;FS;vestibulo-version;;vestibuloversion,versé en vestibulaire,incliné vers la joue,incliné vers l'extérieur,vestibulo-position;;;vestibuloversion,versé en vestibulaire,versés ens vestibulaires,incliné vers la joue,inclinés vers las joues,incliné vers l'extérieur,inclinés vers l'extérieurs,vestibulo-position,vestibulo-positionne,vestibulo-positions,vestibulo-positionnes;
p;FS;linguo-version;;linguoversion,versé en lingual,incliné vers la langue,inclinaison linguale;;;linguoversion,versé en lingual,versés ens linguaux,incliné vers la langue,inclinés vers las langues,inclinaison linguale,inclinaisons linguales;
p;FS;égression;;extrusion,éruption,sortie dentaire,égression dentaire;;;extrusion,extrusionne,extrusions,extrusionnes,éruption,éruptionne,éruptions,éruptionnes,sortie dentaire,sorties dentaires,égression dentaire,égressions dentaires;
p;FS;ingression;;intrusion,enfoncement,intrusion dentaire,mouvement d'intrusion;;;intrusion,intrusionne,intrusions,intrusionnes,enfoncement,enfoncemente,enfoncements,enfoncementes,intrusion dentaire,intrusions dentaires,mouvement d'intrusion,mouvements d'intrusions;
p;FS;supraposition;;supra-position,dent en supraposition,dent trop haute,supra-éruption,éruption excessive;;;supra-position,supra-positionne,supra-positions,supra-positionnes,dent en supraposition,dents ens suprapositions,dent trop haute,dents trops hautes,supra-éruption,supra-éruptionne,supra-éruptions,supra-éruptionnes,éruption excessive,éruptions excessives;
p;FS;infraposition;;infra-position,dent en infraposition,dent trop basse,sous-éruption;;;infra-position,infra-positionne,infra-positions,infra-positionnes,dent en infraposition,dents ens infrapositions,dent trop basse,dents trops basses,sous-éruption,sous-éruptionne,sous-éruptions,sous-éruptionnes;
#;;;;;;;;
# MOUVEMENTS ORTHODONTIQUES;;;;;;;;
#;;;;;;;;
p;FS;distalisation;;recul,déplacement distal,mouvement de distalisation;;;recul,reculle,reculs,reculles,déplacement distal,déplacements distaux,mouvement de distalisation,mouvements des distalisations;
p;FS;mésialisation;;avancement,déplacement mésial,mouvement de mésialisation;;;avancement,avancemente,avancements,avancementes,déplacement mésial,déplacements mésiaux,mouvement de mésialisation,mouvements des mésialisations;
p;FS;translation;;mouvement,déplacement corporel,mouvement corporel,déplacement en bloc,bodily movement,translation dentaire;;;mouvement,mouvemente,mouvements,mouvementes,déplacement corporel,déplacements corporels,mouvement corporel,mouvements corporels,déplacement en bloc,déplacements ens blocs,bodily movement,bodilys movements,translation dentaire,translations dentaires;
p;MS;torque;;torsion radiculaire,rotation radiculaire,inclinaison radiculaire,angulation radiculaire,couple;;;torsion radiculaire,torsions radiculaires,rotation radiculaire,rotations radiculaires,inclinaison radiculaire,inclinaisons radiculaires,angulation radiculaire,angulations radiculaires,couple,couples;
#;;;;;;;;
# DÉVIATIONS ET ASYMÉTRIES;;;;;;;;
#;;;;;;;;
v;FS;asymétrie faciale;;visage asymétrique,déviation faciale;;;visage asymétrique,visages asymétriques,déviation faciale,déviations faciales;
v;FS;déviation mandibulaire;;décalage mandibulaire,déviation de la mandibule;droit,gauche;;décalage mandibulaire,décalages mandibulaires,déviation de la mandibule,déviations des las mandibules;droit|droite|droits|droites,gauche|gauches
v;FS;déviation maxillaire;;décalage dentaire,déviation de la ligne médiane;droit,gauche;;décalage dentaire,décalages dentaires,déviation de la ligne médiane,déviations des las lignes médianes;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation mandibulaire;;déviation mandibulaire latérale,asymétrie mandibulaire;droit,gauche;;déviation mandibulaire latérale,déviations mandibulaires latérales,asymétrie mandibulaire,asymétries mandibulaires;droit|droite|droits|droites,gauche|gauches
v;FS;latérodéviation maxillaire;;déviation maxillaire latérale,asymétrie maxillaire;droit,gauche;;déviation maxillaire latérale,déviations maxillaires latérales,asymétrie maxillaire,asymétries maxillaires;droit|droite|droits|droites,gauche|gauches
#;;;;;;;;
# ATM ET ARTICULATION;;;;;;;;
#;;;;;;;;
v;FS;ATM;;articulation temporo-mandibulaire,troubles ATM,dysfonction temporo-mandibulaire,TMJ,TMD;;;articulation temporo-mandibulaire,articulations temporo-mandibulaires,troubles ATM,troubles ATMs,dysfonction temporo-mandibulaire,dysfonctions temporo-mandibulaires,TMJ,TMJe,TMJs,TMJes,TMD,TMDe,TMDs,TMDes;
v;FS;arthrite;;inflammation articulaire,arthropathie inflammatoire;infectieux|septique|bactérien,traumatique|post-traumatique;;inflammation articulaire,inflammations articulaires,arthropathie inflammatoire,arthropathies inflammatoires;infectieux|infectieuse|infectieuses|septique|septiques|bactérien|bactérienne|bactériens|bactériennes,traumatique|traumatiques|post-traumatique|post-traumatiques
v;FS;arthrose;;ostéoarthrite,arthropathie dégénérative,maladie articulaire dégénérative;;;ostéoarthrite,ostéoarthrites,arthropathie dégénérative,arthropathies dégénératives,maladie articulaire dégénérative,maladies articulaires dégénératives;
v;MS;claquement articulaire;;claquement ATM,clicking;droit,gauche,léger;;claquement ATM,claquements ATMs,clicking,clickingue,clickings,clickingues;droit|droite|droits|droites,gauche|gauches,léger|légère|légers|légères
v;MS;ressaut articulaire;;ressaut ATM,popping;droit,gauche;;ressaut ATM,ressauts ATMs,popping,poppingue,poppings,poppingues;droit|droite|droits|droites,gauche|gauches
